area,latitude,longitude
Mankhool,25.251801,55.29777548
Al Bada,25.22450955,55.26864196
Al Karama,25.2446784,55.30490344
Al Raffa,25.2530138,55.28737258
Al Hamriya,25.2599297,55.3031938
Al Satwa,25.2208602,55.2737617
Nad Al Hamar,25.20290626,55.37693179
Hor Al Anz East,25.2822545,55.348484
Al Mamzer,25.30947,55.34281
Al Baraha,25.2809884,55.3195255
Eyal Nasser,25.27388,55.30397
Mirdif,25.2211708,55.4224204
Al Ras,25.2687742,55.2936231
Al Muteena,25.2743367,55.32256082
Al Dhagaya,25.27271685,55.30038334
Hor Al Anz,25.2782987,55.3395005
Abu Hail,25.28553635,55.32988063
Al Warqa Third,25.190661,55.42275535
Al Barsha Second,25.102996,55.214212
Al Mizhar First,25.246928,55.443112
Al Twar First,25.271362,55.364941
Al Mararr,25.27772,55.30964
Al Jafliya,25.23918,55.28501
Um Suqaim First,25.165325,55.21547
Al Twar Third,25.249281,55.396373
Al Mizhar Second,25.243497,55.460881
Al Rashidiya,25.222025,55.3910064
Um Al Sheif,25.131482,55.203972
Um Suqaim Second,25.150297,55.203037
Al Barsha Third,25.092713,55.197809
Al Manara,25.14479725,55.21466135
Jumeirah First,25.225513,55.261455
Muhaisanah First,25.245425,55.41972
Al Goze First,25.168619,55.253891
Al Wasl,25.1959326,55.2557371
Jumeirah Third,25.181094,55.22916
Al Thanayah Fourth,25.063784,55.176429
Al Saffa Second,25.160182,55.225675
Naif,25.27290345,55.31067997
Al Murqabat,25.265775,55.323232
Al Waheda,25.2915387,55.3373622
Al Qusais Second,25.269344,55.387165
Al Barsha First,25.1071127,55.1984575
Marsa Dubai,25.0879868,55.1459295
Trade Center First,25.2299822,55.2865869
Rega Al Buteen,25.25999,55.31908
Al Buteen,25.2595231,55.3195095
Al Warqa Second,25.201879,55.409955
Um Suqaim Third,25.138703,55.19471
Al Suq Al Kabeer,25.2639134,55.29226264
Al Saffa First,25.174636,55.237236
Al Nahda Second,25.290803,55.377695
Muhaisanah Third,25.271493,55.404467
Al Khabeesi,25.26610755,55.32771476
Al Twar Fourth,25.2618803,55.3891268
Al Rega,25.266927,55.310961
Jumeirah Second,25.201103,55.243515
Al Safouh First,25.119902,55.180849
Jabal Ali Industrial First,25.001886,55.122557
Al Thanyah Fifth,25.062279,55.146425
Al Warqa First,25.188042,55.403703
Al Thanyah Third,25.087241,55.164437
Palm Jumeirah,25.1180879,55.1342009
Al Khawaneej First,25.244886,55.489267
Al Goze Industrial Third,25.126297,55.219548
Al Safouh Second,25.099053,55.160781
Al Warsan First,25.1568014,55.3914145
Al Goze Industrial First,25.141368,55.230912
Al Barshaa South First,25.0885,55.235035
Um Hurair Second,25.238178,55.323897
Al Qusais Industrial Fifth,25.287673,55.412857
Port Saeed,25.2604609,55.3296278
Wadi Al Safa 6,25.0492848,55.2657205
Al Hebiah Fourth,25.034627,55.218911
Burj Khalifa,25.1970336,55.27413295
Al Jadaf,25.2249103,55.3337479
Al Barshaa South Third,25.062672,55.239437
Al Barsha South Fourth,25.056592,55.208032
Nad Al Shiba,25.1545532,55.2450272
Al Barsha South Fifth,25.046109,55.188763
Al Thanyah First,25.098161,55.176052
Al Hebiah First,25.046764,55.237604
Al Barshaa South Second,25.07366,55.233149
Al Mizhar Third,25.263398,55.464088
Saih Shuaib 2,24.8578572,55.0608716
Al Kheeran,25.2152399,55.3639198
Jabal Ali Industrial Second,24.957303,55.103926
Jabal Ali First,25.036174,55.114418
Warsan Fourth,25.143462,55.403209
Me'Aisem First,25.020656,55.184945
Ras Al Khor Industrial Second,25.176876,55.357197
Al Merkadh,25.17117,55.290228
Business Bay,25.18942655,55.26481902
Nad Al Shiba First,25.152906,55.321283
Al Goze Fourth,25.152505,55.254699
Hadaeq Sheikh Mohammed Bin Rashid,25.11912074,55.26386039
Madinat Dubai Almelaheyah,25.247688,55.27413
